id;name;performer;release_year;disc_count;medium;label;state;added
1;cross-platform human-resource;FTP Fresh port;Infrastructure Lesotho Fantastic;mobile Motorway;EXE Fantastic Incredible;initiatives Table online;LOST;2022-01-30T22:42:15
2;Metal solid client-driven;Generic;payment;District HDD;Persistent hack;connecting Card;AWAY;2022-01-30T15:31:07
3;Mouse;Refined Coordinator seamless;real-time SSL;Directives Visionary;Ergonomic Cliffs deploy;bypassing Berkshire;EXPECTED;2022-01-30T21:41:36
4;frictionless Engineer Burkina;Bedfordshire National;Principal Plastic;up Generic;Polarised Paradigm;synergize Account;LOST;2022-01-30T12:05:32
5;Consultant Cambridgeshire Reactive;vortals;Tactics monitor GB;Internal;Interactions;Borders;LOST;2022-01-30T20:41:08
6;Incredible hack;Nevada Peso;orange;HTTP well-modulated;Solutions Pants;dedicated;EXPECTED;2022-01-30T09:54:39
7;Incredible;Borders Granite;Sweden Dynamic Technician;interface;Belgium Berkshire Bedfordshire;Cambridgeshire Auto;AWAY;2022-01-30T13:54:26
8;Object-based microchip Organized;Fantastic Niger;initiatives;systematic quantifying;Buckinghamshire;National Bike Court;AWAY;2022-01-31T04:45:08
9;Pizza Facilitator;background TCP;Ohio circuit quantifying;Shirt Gloves;transparent;Nebraska Fully-configurable;EXPECTED;2022-01-30T19:31:01
10;Table ability;Corporate 5th archive;communities deposit;Utah Borders;Cambridgeshire;Dynamic secondary;LOST;2022-01-31T01:24:25
